id,supplier,parentSupplier,zone,country,category,kpiApplicability,poValue,invoiceValue,divergencePct,year,month
pd-20145,DE VLAS TRANSPORT BV,,EUR,The Netherlands,BEER DISPENSE MATERIALS,Applicable,348.95,348.95,0.000000,2026,3
pd-20146,DECHAMPS,Dechamps,EUR,Belgium,ENERGY & FLUIDS,Applicable,400.08,400.08,0.000000,2026,3
pd-20147,DEKRA AUTOMOBIL,DEKRA e.V.,EUR,Germany,PEOPLE,Applicable,228.56,228.56,0.000000,2026,3
pd-20148,DEL.POWER,,EUR,Belgium,ENERGY & FLUIDS,Applicable,11450.38,34351.14,2.000000,2026,3
pd-20149,DELOITTE BELASTINGSCONSULENTEN,DELOITTE,EUR,United Kingdom,LEGAL,Applicable,20000.00,39998.00,0.999900,2026,3
pd-20150,DENOCLEAN,,EUR,The Netherlands,TRAVEL,Applicable,284.25,284.25,0.000000,2026,3
pd-20151,DERMA TRUCKS NV,D&S Trucks,EUR,Belgium,LOGISTICS,Applicable,1345.71,1345.71,0.000000,2026,3
pd-20152,DEUTSCHE MEDIENBEOBACHTUNGSAGENTUR,Nomor Riedless Beteiligungen AG,EUR,Germany,INSTITUTIONAL,Applicable,3511.02,3511.02,0.000000,2026,3
pd-20153,DFx Technology Ltd,,EUR,United Kingdom,BEER DISPENSE MATERIALS,Applicable,6725.00,6725.00,0.000000,2026,3
pd-20154,DHL EXPRESS ITALY SRL,HILLEBRAND GORI,EUR,Italy,OFFICE UTILITIES,Applicable,417.62,1252.86,2.000000,2026,3
pd-20155,DHR W H. RIJKENS,,EUR,The Netherlands,TECHNOLOGY,Applicable,2625.66,2625.66,0.000000,2026,3
pd-20156,DIAGEO NEDERLAND BV,,EUR,The Netherlands,FINISHED PRODUCTS,Applicable,62657.95,63750.58,0.017438,2026,3
pd-20157,DIAGEO NEDERLAND BV,,EUR,The Netherlands,OTHER PACKAGING,Applicable,3465.00,3465.00,0.000000,2026,3
pd-20158,DIJKSTRA VEREENIGDE,,EUR,The Netherlands,OTHER CONSUMABLES,Applicable,505.00,535.00,0.059406,2026,3
pd-20159,DISTRIDEV,Distridev,EUR,Belgium,CORRUGATED BOARD,Applicable,486.00,486.00,0.000000,2026,3
pd-20160,DISTRIDEV,Distridev,EUR,Belgium,FINISHED PRODUCTS,Applicable,3351.36,3426.91,0.022543,2026,3
pd-20161,DISTRIDEV,Distridev,EUR,Belgium,KEGS,Applicable,780.00,780.00,0.000000,2026,3
pd-20162,DLA PIPER UK LLP,DLA PIPER UK LLP,EUR,United Kingdom,LEGAL,Applicable,10076.00,10076.00,0.000000,2026,3
pd-20163,DLL,SUPERLIFT HOLDING,EUR,Belgium,LOGISTICS,Applicable,974.68,974.68,0.000000,2026,3
pd-20164,DND Srl,,EUR,Italy,MARKETING,Applicable,7500.00,7500.00,0.000000,2026,3
pd-20165,DOB L MAINTENANCE WELDING,,EUR,Belgium,MAINTENANCE,Applicable,203.70,203.70,0.000000,2026,3
pd-20166,DOCK 6210 GmbH,,EUR,Switzerland,CUSTOMERS,Applicable,2592.80,2592.80,0.000000,2026,3
pd-20167,DONALDSON EUROPE,"Donaldson Company, Inc.",EUR,Belgium,MAINTENANCE,Applicable,206.50,206.50,0.000000,2026,3
pd-20168,DONALDSON FILTRATION DEUTSCHLAND,"Donaldson Company, Inc.",EUR,Germany,MAINTENANCE,Applicable,633.55,633.55,0.000000,2026,3
pd-20169,DONAU MALZ Bamberger Mälzerei,DONAU MALZ Bamberger Mälzerei GmbH & Co. KG,EUR,Germany,MALT,Applicable,149688.00,149911.40,0.001492,2026,3
pd-20170,DRANKENPALLET BEHEER NED BV,,EUR,The Netherlands,PACKAGING,Applicable,31790.50,31790.50,0.000000,2026,3
pd-20171,DRANSFIELDS ENGINEERING SERVICES LT,DRANSFIELDS HOLDINGS (UK) LIMITED,EUR,United Kingdom,MAINTENANCE,Applicable,22361.00,22361.00,0.000000,2026,3
pd-20172,DRINK Getränkemaschinen GmbH,,EUR,Germany,MAINTENANCE,Applicable,19021.00,19021.00,0.000000,2026,3
pd-20173,DRINKS & MORE GMBH & CO.KG,Diversum Holding GmbH & Co. KG,EUR,Germany,FINISHED PRODUCTS,Applicable,7159.56,7159.56,0.000000,2026,3
pd-20174,DRINKS & MORE GMBH & CO.KG,Diversum Holding GmbH & Co. KG,EUR,Germany,PALLETS,Applicable,4929.60,4929.60,0.000000,2026,3
pd-20175,DRUART,Ackermans & Van Haaren,EUR,Belgium,MAINTENANCE,Applicable,8387.00,8387.00,0.000000,2026,3
pd-20176,DS SMITH Belgium - GENT,Ds Smith Packaging Belgium,EUR,Belgium,FOLDING CARTONS,Applicable,300524.87,8454066.79,27.131006,2026,3
pd-20177,DS SMITH PACKAGING DEUTSCHLAND STIF,DS Smith Packaging Deutschland Stiftung & Co. KG,EUR,Belgium,FOLDING CARTONS,Applicable,136597.92,136635.67,0.000276,2026,3
pd-20178,DS SMITH PACKAGING DEUTSCHLAND STIF,DS Smith Packaging Deutschland Stiftung & Co. KG,EUR,Germany,FOLDING CARTONS,Applicable,292767.24,448545.72,0.532090,2026,3
pd-20179,DS SMITH PACKAGING LTD - FORDHAM,,EUR,United Kingdom,FOLDING CARTONS,Applicable,909611.37,1063656.84,0.169353,2026,3
pd-20180,DS Smith Packaging Ltd,INTERNATIONAL PAPER UK HOLDINGS LIMITED,EUR,United Kingdom,FOLDING CARTONS,Applicable,133693.28,163511.95,0.223038,2026,3
pd-20181,DSI Micro Matic GmbH,,EUR,Germany,BEER DISPENSE MATERIALS,Applicable,10169.46,10169.46,0.000000,2026,3
pd-20182,DST bv,,EUR,Belgium,FINISHED PRODUCTS,Applicable,543.51,543.51,0.000000,2026,3
pd-20183,DST bv,,EUR,Belgium,KEGS,Applicable,180.00,180.00,0.000000,2026,3
pd-20184,DSV Solutions AS,DSV,EUR,Norway,LOGISTICS,Applicable,720730.69,720730.69,0.000000,2026,3
pd-20185,DUOTANK BEVERAGE SOLUTIONS,,EUR,The Netherlands,BEER DISPENSE MATERIALS,Applicable,73106.79,73106.79,0.000000,2026,3
pd-20186,DUVEL MOORTGAT,Fibemi,EUR,Belgium,CORRUGATED BOARD,Applicable,34011.00,34009.00,0.000059,2026,3
pd-20187,DUVEL MOORTGAT,Fibemi,EUR,Belgium,FINISHED PRODUCTS,Applicable,100995.48,100995.95,0.000005,2026,3
pd-20188,DUVEL MOORTGAT,Fibemi,EUR,Belgium,KEGS,Applicable,28230.00,28230.00,0.000000,2026,3
pd-20189,DUVEL MOORTGAT,Fibemi,EUR,Belgium,PALLETS,Applicable,1410.00,1420.00,0.007092,2026,3
