id,supplier,parentSupplier,zone,country,category,kpiApplicability,invoiceOnTimeCount,totalPoLines,year,month
iot-20729,CAN-PACK Netherlands BV,CAN PACK,EUR,Germany,MARKETING,Applicable,1,1,2026,5
iot-20730,CBB MAISON DES BRASSEURS,CBB MAISON DES BRASSEURS,EUR,Belgium,PEOPLE,Applicable,0,1,2026,5
iot-20731,CC Coaster GmbH + Co. KG,Koehler Holding SE & Co. KG,EUR,Belgium,SALES,Applicable,1,2,2026,5
iot-20732,CEE-ENGINEERING,Cee-Group,EUR,Belgium,ENERGY & FLUIDS,Applicable,2,2,2026,5
iot-20733,CEES VAN EYCK BV,CEES VAN EYCK BV,EUR,The Netherlands,MARKETING,Applicable,2,2,2026,5
iot-20734,CEES VAN EYCK BV,CEES VAN EYCK BV,EUR,The Netherlands,PEOPLE,Applicable,2,2,2026,5
iot-20735,CELLI S.P.A.,ARDIAN LBO FUND VI B S.L.P.,EUR,Italy,BEER DISPENSE MATERIALS,Applicable,1,1,2026,5
iot-20736,CENTEC GmbH,Centec GmbH,EUR,Germany,MAINTENANCE,Applicable,1,1,2026,5
iot-20737,CG Chemikalien GmbH & Co. KG,CG CHEMIKALIEN GmbH & Co. HOLDING KG,EUR,Germany,AUXILIARY MATERIALS,Applicable,7,7,2026,5
iot-20738,CG Chemikalien GmbH & Co. KG,CG CHEMIKALIEN GmbH & Co. HOLDING KG,EUR,Germany,MAINTENANCE,Applicable,1,1,2026,5
iot-20739,CG Chemikalien GmbH & Co. KG,CG CHEMIKALIEN GmbH & Co. HOLDING KG,EUR,Germany,OTHER AUXILIARIES,Applicable,1,1,2026,5
iot-20740,CGP INDUSTRIES,PACKINVEST,EUR,Belgium,PALLETS,Applicable,4,4,2026,5
iot-20741,CGP INDUSTRIES,PACKINVEST,EUR,France,PALLETS,Applicable,0,1,2026,5
iot-20742,CHATEL NORD,CHATEL NORD,EUR,France,LOGISTICS,Applicable,7,7,2026,5
iot-20743,CHEP,BRAMBLES LIMITED,EUR,Belgium,PALLETS,Applicable,2,2,2026,5
iot-20744,CHEP BENELUX NEDERLAND BV,Brambles Investments Europe B.V.,EUR,The Netherlands,PALLETS,Applicable,2,2,2026,5
iot-20745,CHEP FRANCE,CHEP FRANCE HOLDING,EUR,France,PALLETS,Applicable,2,2,2026,5
iot-20746,CHEP Schweiz B.V.,Brambles Investments Europe B.V.,EUR,Switzerland,LOGISTICS,Applicable,1,1,2026,5
iot-20747,CHEP ÖSTERREICH GmbH,BRAMBLES LIMITED,EUR,Austria,LOGISTICS,Applicable,1,1,2026,5
iot-20748,CHRONOTRUCK,MERIT FRANCE,EUR,France,LOGISTICS,Applicable,2,2,2026,5
iot-20749,CIGA GROUP S.R.L.,CIGA GROUP SRL,EUR,Italy,MAINTENANCE,Applicable,2,2,2026,5
iot-20750,CLAEYS & ENGELS,CLAEYS & ENGELS,EUR,Belgium,LEGAL,Applicable,3,3,2026,5
iot-20751,CMB Schankanlagen GmbH,CMB Schankanlagen GmbH,EUR,Germany,BEER DISPENSE MATERIALS,Applicable,8,8,2026,5
iot-20752,CO-JOINT SA,Co-Joint,EUR,Belgium,MAINTENANCE,Applicable,9,12,2026,5
iot-20753,COCA COLA EUROPACIFIC PARTNERS BELG,The Coca-Cola Company,EUR,Belgium,CORRUGATED BOARD,Applicable,71,83,2026,5
iot-20754,COCA COLA EUROPACIFIC PARTNERS BELG,The Coca-Cola Company,EUR,Belgium,FINISHED PRODUCTS,Applicable,638,671,2026,5
iot-20755,COCA COLA EUROPACIFIC PARTNERS BELG,The Coca-Cola Company,EUR,Belgium,PALLETS,Applicable,5,5,2026,5
iot-20756,COCA COLA EUROPACIFIC PARTNERS BELG,The Coca-Cola Company,EUR,Belgium,PLASTIC CRATES,Applicable,6,7,2026,5
iot-20757,CONTIMETA BV,Bon Systems B.V.,EUR,The Netherlands,MAINTENANCE,Applicable,1,1,2026,5
iot-20758,CONTIMETA BVBA,Bon Systems B.V.,EUR,Belgium,MAINTENANCE,Applicable,8,8,2026,5
iot-20759,CORE ICT NV,CORE ICT,EUR,Germany,TECHNOLOGY,Applicable,1,1,2026,5
iot-20760,CORE ICT NV,Syntory,EUR,Belgium,TECHNOLOGY,Applicable,4,4,2026,5
iot-20761,COSUN BEET COMPANY,Coöperatie Koninklijke Cosun U.A.,EUR,Belgium,SUGAR,Applicable,13,16,2026,5
iot-20762,COSUN BEET COMPANY,Coöperatie Koninklijke Cosun U.A.,EUR,The Netherlands,SUGAR,Applicable,1,1,2026,5
iot-20763,COVERIS FLEXIBLES UK LTD - LAB,SCPack Holdings Management S.à r.l. & Partners S.C.A.,EUR,United Kingdom,OTHER PACKAGING,Applicable,1,1,2026,5
iot-20764,CSW (Euro),Sothoro B.V.,EUR,United Kingdom,MAINTENANCE,Applicable,1,1,2026,5
iot-20765,CULLIGAN BELGIUM,Culligan Belgium,EUR,Belgium,BOTTLES,Applicable,1,1,2026,5
