id,supplier,parentSupplier,zone,country,category,scorecard_category,kpiApplicability,supplierApprovalStatus,greenCount,yellowCount,redCount,naCount,blankCount,year
sa-564,Brewery Las Palmas,Brewery Las Palmas,EUR,Spain,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-565,Brewery Lesotho,Brewery Lesotho,AFR,Lesotho,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-566,Brewery Leuven,Brewery Leuven,EUR,Belgium,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-567,Brewery Leuven Research Pilot,Brewery Leuven Research Pilot,EUR,Belgium,Brewery,DIRECT,Applicable,Not Approved,0,0,0,0,1,2026
sa-568,Brewery London,Brewery London,NAZ,Canada,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-569,Brewery Los Angeles,Brewery Los Angeles,NAZ,United States,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-570,Brewery Lusaka,Brewery Lusaka,AFR,Zambia,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-571,Brewery Magor,Brewery Magor,EUR,United Kingdom,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-572,Brewery Manantial,Brewery Manantial,SAZ,Argentina,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-573,Brewery Manaus,Brewery Manaus,SAZ,Brazil,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-574,Brewery Maputo,Brewery Maputo,AFR,Mozambique,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-575,Brewery Marracuene,Brewery Marracuene,AFR,Mozambique,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-576,Brewery Mazatlan,Brewery Mazatlan,MAZ,Mexico,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-577,Brewery Mbarara,Brewery Mbarara,AFR,Tanzania,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-578,Brewery Mbeya,Brewery Mbeya,AFR,Tanzania,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-579,Brewery Medellin,Brewery Medellin,MAZ,Colombia,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-580,Brewery Meerut (Central),Brewery Meerut (Central),APAC,India,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-581,Brewery Mendoza,Brewery Mendoza,SAZ,Argentina,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-582,Brewery Merida,Brewery Merida,MAZ,Mexico,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-583,Brewery Merrimack,Brewery Merrimack,NAZ,United States,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-584,Brewery Mexico,Brewery Mexico,MAZ,Mexico,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-585,Brewery Minas,Brewery Minas,SAZ,Uruguay,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-586,Brewery Montevideo,Brewery Montevideo,SAZ,Uruguay,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-587,Brewery Montreal,Brewery Montreal,NAZ,Canada,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
