id,supplier,parentSupplier,zone,country,category,scorecard_category,kpiApplicability,conformityPct,missingPo,wrongPo,wrongInvoice,totalInvoices,mismatchCount
ic-49,A.I.D.E.,A.I.D.E.,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,1,0
ic-50,A.M. Handel & Promotion GmbH,A.M. Handel & Promotion GmbH,EUR,Germany,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,3,0
ic-51,A.M.U Beratung Ing- Büro Schünzel,A.M.U Beratung Ing- Büro Schünzel,EUR,Germany,FEES,BST,Applicable,1.000000,0,0,0,7,0
ic-52,A.RCO P. NEWS,A.RCO P. NEWS,EUR,Belgium,FEES,BST,Applicable,1.000000,0,0,0,1,0
ic-53,A.T. Kearney (International) AG,A.T. Kearney (International) AG,EUR,GHQ CH,FEES,BST,Applicable,1.000000,0,0,0,1,0
ic-54,A.T.I. Industrie,EIFFAGE,EUR,Belgium,TECHNOLOGY,BST,Applicable,1.000000,0,0,0,33,0
ic-55,A1 streamline Road Markings Ltd,A1 streamline Road Markings Ltd,EUR,United Kingdom,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,8,0
ic-56,A2-FORUM MANAGEMENT GMBH,A2-FORUM MANAGEMENT GMBH,EUR,Germany,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,1,0
ic-57,A7 Comms LLC,A7 Comms LLC,EUR,GHQ CH,MARKETING,COMMERCIAL,Applicable,1.000000,0,0,0,2,0
ic-58,AANNEMERSBEDRIJF BREEBERG,DITER SOTO TORRICO,EUR,Netherlands,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,18,0
ic-59,AANNEMERSBEDRIJF VAN RIJSWIJCK B.V.,Stichting Administratiekantoor Van Rijswijck Groep,EUR,Netherlands,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,50,0
ic-60,AAX Gebäudeservice GmbH,AAX Gebäudeservice GmbH,EUR,Germany,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,4,0
ic-61,AB Blåkläder Belgium,AB Blåkläder,EUR,Belgium,PEOPLE,BST,Applicable,1.000000,0,0,0,399,0
ic-62,AB Blåkläder Belgium,AB Blåkläder,EUR,GHQ BE,PEOPLE,BST,Applicable,1.000000,0,0,0,4,0
ic-63,AB Blåkläder Belgium,AB Blåkläder,EUR,Germany,PEOPLE,BST,Applicable,1.000000,0,0,0,253,0
ic-64,AB Blåkläder Belgium,AB Blåkläder,EUR,Luxembourg,PEOPLE,BST,Applicable,1.000000,0,0,0,18,0
ic-65,AB Blåkläder Belgium,AB Blåkläder,EUR,Netherlands,PEOPLE,BST,Applicable,1.000000,0,0,0,90,0
ic-66,AB INBEV Foundation,Tecnisegur Uruguay S.A,EUR,GHQ BE,LEGAL,BST,Applicable,1.000000,0,0,0,2,0
ic-67,AB Tech,Ab Tech,EUR,Luxembourg,ENERGY & FLUIDS,DIRECT,Applicable,1.000000,0,0,0,3,0
ic-68,ABB,ABB Ltd,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,19,0
ic-69,ABB AG,ABB Ltd,EUR,GHQ BE,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,2,0
ic-70,ABB AG,ABB Ltd,EUR,Germany,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,4,0
ic-71,ABB Robotics Belgium BV,ABB Robotics Belgium BV,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,7,0
ic-72,ABBAYE DE VAL DIEU,Brasserie de l'Abbaye du Val-Dieu,EUR,Belgium,FINISHED PRODUCTS,DIRECT,Applicable,1.000000,0,0,0,36,0
ic-73,ABC Industrial Parts,ABC INDUSTRIAL PARTS,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,60,0
ic-74,ABC Industrial Parts,ABC INDUSTRIAL PARTS,EUR,Germany,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,3,0
ic-75,ABCLavpris,ABCLavpris,EUR,Denmark,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,6,0
ic-76,ABDERAMEDIA,ABDERAMEDIA,EUR,Netherlands,INSTITUTIONAL,BST,Applicable,1.000000,0,0,0,2,0
ic-77,ABDOU Retail Design Ltda,ABDOU Retail Design Ltda,EUR,GHQ BE,MARKETING,COMMERCIAL,Applicable,1.000000,0,0,0,1,0
ic-78,ABFALLWIRTSCHAFT NORDHARZ GMBH,Rethmann SE & Co. KG,EUR,Germany,SERVICES,BST,Applicable,1.000000,0,0,0,26,0
ic-79,ABG Consultoria Estatística LTDA ME,ABG CONSULTORIA ESTATISTICA LTDA,EUR,GHQ CH,TECHNOLOGY,BST,Applicable,1.000000,0,0,0,22,0
ic-80,ABG Europe (UK) LIMITED,ABG Europe (UK) LIMITED,EUR,United Kingdom,MARKETING,COMMERCIAL,Applicable,1.000000,0,0,0,4,0
ic-81,ABI Experience Center BV,Abi Experience Center,EUR,Belgium,INSTITUTIONAL,BST,Applicable,1.000000,0,0,0,7,0
ic-82,ABTS,WPEF IX Holdco 3 B.V.,EUR,Belgium,FINISHED PRODUCTS,DIRECT,Applicable,1.000000,0,0,0,168,0
ic-83,ABVV,ABVV,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,4,0
ic-84,ABVV,ABVV,EUR,Belgium,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,1,0
ic-85,ABVV Horval Kempen-Limburg,ABVV Horval Kempen-Limburg,EUR,Belgium,SERVICES,BST,Applicable,1.000000,0,0,0,1,0
ic-86,ABVV Horval Leuven-Mechele,ABVV Horval Leuven-Mechele,EUR,Belgium,PEOPLE,BST,Applicable,1.000000,0,0,0,2,0
ic-87,ABVV VOEDING HORECA,ABVV VOEDING HORECA,EUR,Belgium,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,1,0
ic-88,ABYLSEN BELGIUM,"Bain Capital, LP",EUR,Belgium,PEOPLE,BST,Applicable,1.000000,0,0,0,4,0
ic-89,AC NIELSEN,AI PAVE Dutchco I B.V.,EUR,Belgium,MARKETING,COMMERCIAL,Applicable,1.000000,0,0,0,6,0
ic-90,AC NIELSEN,AI PAVE Dutchco I B.V.,EUR,Netherlands,MARKETING,COMMERCIAL,Applicable,1.000000,0,0,0,1,0
ic-91,AC NIELSEN,NIELSEN HOLDINGS,EUR,France,MARKETING,COMMERCIAL,Applicable,1.000000,0,0,0,1,0
ic-92,ACALIN SA,Sancofa,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,74,0
ic-93,ACARDO GROUP AG,ACARDO GROUP,EUR,Germany,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,52,0
ic-94,ACCENTURE DO BRASIL LTDA,ACCENTURE,EUR,GHQ BE,TECHNOLOGY,BST,Applicable,1.000000,0,0,0,119,0
ic-95,ACCENTURE LLP,ACCENTURE,EUR,GHQ BE,TECHNOLOGY,BST,Applicable,1.000000,0,0,0,1,0
ic-96,ACCLIME CORPORATE SERVICES AUSTRALI,ACCLIME CORPORATE SERVICES AUSTRALIA PTY LTD,EUR,GHQ BE,FEES,BST,Applicable,1.000000,0,0,0,26,0
ic-97,ACCSYS GMBH,ACCSYS GMBH,EUR,Germany,INSTITUTIONAL,BST,Applicable,1.000000,0,0,0,11,0
ic-98,ACCURATE SOFTWARE LTDA,ACCURATE SOFTWARE LTDA,EUR,GHQ BE,TECHNOLOGY,BST,Applicable,1.000000,0,0,0,6,0
ic-99,ACD Easton,ACD Easton,EUR,United Kingdom,FINISHED PRODUCTS,DIRECT,Applicable,1.000000,0,0,0,1,0
ic-100,ACE HR SOLUTIONS CONSULTORIA LTDA,ACE HR SOLUTIONS CONSULTORIA LTDA,EUR,GHQ BE,PEOPLE,BST,Applicable,1.000000,0,0,0,2,0
ic-101,ACHELSE KLUIS,Drigima,EUR,Belgium,FINISHED PRODUCTS,DIRECT,Applicable,1.000000,0,0,0,16,0
ic-102,ACHER Enginieering,ACHER Enginieering,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,1,0
ic-103,ACK SANITOIT 2000,ACK SANITOIT 2000,EUR,Belgium,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,93,0
ic-104,ACMI Beverage S.P.A.,SACMI GROUP,EUR,Ukraine,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,4,0
ic-105,ACMI SPA,OMNIA TECHNOLOGIES HOLDING SPA,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,39,0
ic-106,ACMI SPA,OMNIA TECHNOLOGIES HOLDING SPA,EUR,Netherlands,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,2,0
ic-107,ACO Passavant GmbH,ACO Passavant GmbH,EUR,Germany,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,1,0
ic-108,ACPR BANQUE DE France,ACPR BANQUE DE France,EUR,France,LEGAL,BST,Applicable,1.000000,0,0,0,1,0
ic-109,ACS-CONTROL-SYSTEM GMBH,GENUI II GmbH & Co. geschl. InvKG,EUR,Germany,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,2,0
ic-110,ACT CONSULTORIA EM TECNOLOGIA LTDA,BRASALT PARTICIPACOES LTDA,EUR,GHQ BE,TECHNOLOGY,BST,Applicable,1.000000,0,0,0,413,0
ic-111,ACT CONSULTORIA EM TECNOLOGIA LTDA,BRASALT PARTICIPACOES LTDA,EUR,GHQ CH,TECHNOLOGY,BST,Applicable,1.000000,0,0,0,6,0
ic-112,ACTE 2,ACTE 2,EUR,France,LEGAL,BST,Applicable,1.000000,0,0,0,14,0
ic-113,ACTEMIUM,VINCI,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,3,0
ic-114,ACTIVA-ID TECNOLOGIA DE IDENTIFICAÇ,ACTIVA-ID TECNOLOGIA DE IDENTIFICAÃ,EUR,GHQ BE,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,2,0
ic-115,ACTIVE AIR SOLUTIONS LIMITED,ACTIVE AIR SOLUTIONS LIMITED,EUR,United Kingdom,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,9,0
ic-116,ACV Voeding en Diensten,ACV - Voeding en Diensten,EUR,Belgium,PEOPLE,BST,Applicable,1.000000,0,0,0,6,0
ic-117,ADAM Pumps S.A.,ADAM Pumps S.A.,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,26,0
ic-118,ADBIT LIMITED,ADBIT LIMITED,EUR,GHQ BE,TECHNOLOGY,BST,Applicable,1.000000,0,0,0,5,0
ic-119,ADDING BUSINESS VALUE GROUP,ABV Enterprise,EUR,Belgium,FEES,BST,Applicable,1.000000,0,0,0,2,0
